run,split,step,metric,value
Reward v2,train,2,timing_s/ref,56.101788487285376
Reward v2,train,2,timing_s/adv,0.005748886615037918
Reward v2,train,2,timing_s/update_actor,225.8979798424989
Reward v2,train,2,timing_s/dump_rollout_generations,0.10629064962267876
Reward v2,train,2,timing_s/step,419.989947270602
Reward v2,train,2,timing_s/stop_profile,5.914457142353058e-05
Reward v2,train,2,timing_per_token_ms/gen,1.0027519696098166
Reward v2,train,2,timing_per_token_ms/update_actor,1.7406626739907602
Reward v2,train,2,timing_per_token_ms/ref,0.43229376921400076
Reward v2,train,2,timing_per_token_ms/adv,4.429819317011426e-05
Reward v2,train,2,perf/total_num_tokens,129777.0
Reward v2,train,2,perf/time_per_step,419.989947270602
Reward v2,train,2,perf/throughput,77.25006327138583
Reward v2,train,3,total_reward,0.28398321069299554
Reward v2,train,3,total_reward_std,0.376855541029734
Reward v2,train,3,answer_reward,0.21924715909090908
Reward v2,train,3,answer_reward_std,0.37183029462202444
Reward v2,train,3,task_reward,0.21924715909090908
Reward v2,train,3,task_reward_std,0.37183029462202444
Reward v2,train,3,marginal_evidence_reward,0.671875
Reward v2,train,3,current_beta,0.09672131147540984
Reward v2,train,3,wasted_search_penalty,0.0002485795454545455
Reward v2,train,3,search_count,1.4609375
Reward v2,train,3,useful_search_count,1.34375
Reward v2,train,3,wasted_search_count,0.1171875
Reward v2,train,3,unique_support_count,1.34375
Reward v2,train,3,multi_search,0.421875
Reward v2,train,3,evidence_gain_per_search,0.4759114583333333
Reward v2,train,3,repeated_search_count,0.0078125
Reward v2,train,3,em,0.171875
Reward v2,train,3,f1,0.26661931818181817
Reward v2,train,3,valid_answer,0.6484375
Reward v2,train,3,zero_variance_group_ratio,0.375
Reward v2,train,3,trajectory_count,128.0
Reward v2,train,3,group_count,32.0
Reward v2,train,3,actor/entropy,0.11523356288671494
Reward v2,train,3,actor/pg_clipfrac,0.0
Reward v2,train,3,actor/ppo_kl,0.0
Reward v2,train,3,actor/pg_clipfrac_lower,0.0
Reward v2,train,3,actor/kl_loss,0.0005153080300499546
Reward v2,train,3,actor/kl_coef,0.0010000000000000005
Reward v2,train,3,actor/pg_loss,4.001776687800884e-11
Reward v2,train,3,actor/grad_norm,2.6192331314086914
Reward v2,train,3,perf/mfu/actor,0.0
Reward v2,train,3,perf/max_memory_allocated_gb,62.04051065444946
Reward v2,train,3,perf/max_memory_reserved_gb,70.203125
Reward v2,train,3,perf/cpu_memory_used_gb,387.72474670410156
Reward v2,train,3,actor/lr,1e-06
Reward v2,train,3,training/global_step,3.0
Reward v2,train,3,training/epoch,0.0
Reward v2,train,3,critic/score/mean,0.2839832007884979
Reward v2,train,3,critic/score/max,1.0967212915420532
Reward v2,train,3,critic/score/min,0.04836065694689751
Reward v2,train,3,critic/rewards/mean,0.2839832007884979
Reward v2,train,3,critic/rewards/max,1.0967212915420532
Reward v2,train,3,critic/rewards/min,0.04836065694689751
Reward v2,train,3,critic/true_reward/mean,0.2839832007884979
Reward v2,train,3,critic/true_reward/max,1.0967212915420532
Reward v2,train,3,critic/true_reward/min,0.04836065694689751
Reward v2,train,3,critic/advantages/max,1.4999971389770508
Reward v2,train,3,critic/advantages/min,-1.499991536140442
Reward v2,train,3,critic/advantages/mean,-0.2644050121307373
Reward v2,train,3,critic/advantages/std,0.7978733777999878
Reward v2,train,3,critic/advantages/abs_mean,0.7684977054595947
Reward v2,train,3,critic/advantages/extreme_count,0.0
Reward v2,train,3,critic/advantages/abs_max,1.4999971389770508
Reward v2,train,3,critic/returns/max,1.4999971389770508
Reward v2,train,3,critic/returns/min,-1.499991536140442
Reward v2,train,3,critic/returns/mean,-0.2644050121307373
Reward v2,train,3,response_length/mean,513.59375
Reward v2,train,3,response_length/max,1024.0
Reward v2,train,3,response_length/min,136.0
Reward v2,train,3,response_length/clip_ratio,0.1875
Reward v2,train,3,response_length_non_aborted/mean,513.59375
Reward v2,train,3,response_length_non_aborted/max,1024.0
Reward v2,train,3,response_length_non_aborted/min,136.0
Reward v2,train,3,response_length_non_aborted/clip_ratio,0.1875
Reward v2,train,3,response/aborted_ratio,0.0
Reward v2,train,3,prompt_length/mean,352.78125
Reward v2,train,3,prompt_length/max,366.0
Reward v2,train,3,prompt_length/min,344.0
Reward v2,train,3,prompt_length/clip_ratio,0.0
Reward v2,train,3,num_turns/min,4.0
Reward v2,train,3,num_turns/max,8.0
Reward v2,train,3,num_turns/mean,4.921875
Reward v2,train,3,reward_v2/answer_reward/mean,0.21924715909090908
Reward v2,train,3,reward_v2/marginal_evidence_reward/mean,0.671875
Reward v2,train,3,reward_v2/current_beta/mean,0.09672131147540981
Reward v2,train,3,reward_v2/wasted_search_count/mean,0.1171875
Reward v2,train,3,reward_v2/wasted_search_penalty/mean,0.00024857954545454543
Reward v2,train,3,reward_v2/total_reward/mean,0.2839832106929955
Reward v2,train,3,reward_v2/search_count/mean,1.4609375
Reward v2,train,3,reward_v2/useful_search_count/mean,1.34375
Reward v2,train,3,reward_v2/unique_support_count/mean,1.34375
Reward v2,train,3,reward_v2/multi_search/mean,0.421875
Reward v2,train,3,reward_v2/evidence_gain_per_search/mean,0.47591145833333337
Reward v2,train,3,reward_v2/repeated_search_count/mean,0.0078125
Reward v2,train,3,timing_s/start_profile,6.039254367351532e-05
Reward v2,train,3,timing_s/agent_loop/generate_sequences/min,1.2295521460473537
Reward v2,train,3,timing_s/agent_loop/generate_sequences/max,65.57791513763368
Reward v2,train,3,timing_s/agent_loop/generate_sequences/mean,15.111868570311344
Reward v2,train,3,timing_s/agent_loop/tool_calls/min,0.000628916546702385
Reward v2,train,3,timing_s/agent_loop/tool_calls/max,0.013069339096546173
Reward v2,train,3,timing_s/agent_loop/tool_calls/mean,0.0029841699288226664
Reward v2,train,3,timing_s/agent_loop/slowest/generate_sequences,65.57791513763368
Reward v2,train,3,timing_s/agent_loop/slowest/tool_calls,0.0017627477645874023
Reward v2,train,3,timing_s/agent_loop/slowest/prompt_length,345.0
Reward v2,train,3,timing_s/agent_loop/slowest/response_length,1024.0
Reward v2,train,3,timing_s/gen,76.83364610746503
Reward v2,train,3,timing_s/reward,0.06379827298223972
Reward v2,train,3,timing_s/old_log_prob,53.60111454874277
Reward v2,train,3,timing_s/ref,58.3822783716023
Reward v2,train,3,timing_s/adv,0.005027309060096741
Reward v2,train,3,timing_s/update_actor,225.88347945921123
Reward v2,train,3,timing_s/dump_rollout_generations,0.0894067045301199
Reward v2,train,3,timing_s/step,414.8832283951342
Reward v2,train,3,timing_s/stop_profile,6.016530096530914e-05
Reward v2,train,3,timing_per_token_ms/gen,1.1687503210749168
Reward v2,train,3,timing_per_token_ms/update_actor,2.0368947433560383
Reward v2,train,3,timing_per_token_ms/ref,0.5264597313843808
Reward v2,train,3,timing_per_token_ms/adv,4.533354728842105e-05
Reward v2,train,3,perf/total_num_tokens,110896.0
Reward v2,train,3,perf/time_per_step,414.8832283951342
Reward v2,train,3,perf/throughput,66.82362193150816
Reward v2,train,4,total_reward,0.25842725409836065
Reward v2,train,4,total_reward_std,0.402642144968735
Reward v2,train,4,answer_reward,0.2033203125
Reward v2,train,4,answer_reward_std,0.3953757495565482
Reward v2,train,4,task_reward,0.2033203125
Reward v2,train,4,task_reward_std,0.3953757495565482
Reward v2,train,4,marginal_evidence_reward,0.58984375
Reward v2,train,4,current_beta,0.09508196721311477
Reward v2,train,4,wasted_search_penalty,0.0009765625
Reward v2,train,4,search_count,1.421875
Reward v2,train,4,useful_search_count,1.1796875
Reward v2,train,4,wasted_search_count,0.2421875
Reward v2,train,4,unique_support_count,1.1796875
Reward v2,train,4,multi_search,0.34375
Reward v2,train,4,evidence_gain_per_search,0.443359375
Reward v2,train,4,repeated_search_count,0.0390625
Reward v2,train,4,em,0.1953125
Reward v2,train,4,f1,0.211328125
Reward v2,train,4,valid_answer,0.6015625
Reward v2,train,4,zero_variance_group_ratio,0.5
Reward v2,train,4,trajectory_count,128.0
Reward v2,train,4,group_count,32.0
Reward v2,train,4,actor/entropy,0.10056851804256439
Reward v2,train,4,actor/pg_clipfrac,0.0
Reward v2,train,4,actor/ppo_kl,0.0
Reward v2,train,4,actor/pg_clipfrac_lower,0.0
Reward v2,train,4,actor/kl_loss,0.0006712333798191139
Reward v2,train,4,actor/kl_coef,0.0010000000000000005
Reward v2,train,4,actor/pg_loss,-1.9281287677586079e-10
Reward v2,train,4,actor/grad_norm,3.3423051834106445
Reward v2,train,4,perf/mfu/actor,0.0
